"","lat","long","name","library","state","city","firstgen","admissions"
"4486",33.64132,-112.068591,"Avalon School of Cosmetology-Phoenix",0,"AZ","Phoenix",5102.040816,NA
"4487",39.866573,-75.302404,"All-State Career School-Allied Health Campus",0,"PA","Essington",6648.599819,NA
"4488",40.26096,-74.723119,"Fortis Institute-Lawrenceville",0,"NJ","Lawrenceville",6441.005803,NA
"4489",31.99958,-81.105481,"South University-Savannah Online",0,"GA","Savannah",4823.701629,NA
"4490",42.102696,-72.557049,"Springfield College-School of Professional and Continuing Studies",0,"MA","Springfield",3548.206278,NA
"4491",34.17755,-118.465521,"Marian Health Careers Center-Van Nuys Campus",0,"CA","Van Nuys",2653.061224,NA
"4492",0,0,"San Joaquin Valley College - Hanford",NA,"CA","Hanford",5932.591623,NA
"4493",0,0,"Colorado Technical University",NA,"CO","Pueblo",5483.529695,NA
"4494",0,0,"Porter and Chester Institute of Woburn",NA,"MA","Woburn",5354.235755,NA
"4495",0,0,"Barry University Law School",NA,"FL","Orlando",4403.726708,NA
"4496",0,0,"PJ's College of Cosmetology-Crestwood",NA,"KY","Crestwood",5443.037975,NA
"4497",0,0,"SW School of Business & Technical Careers",NA,"TX","Uvalde",6000,NA
"4498",0,0,"Connecticut Aero Tech  School",NA,"CT","Hartford",NA,NA
"4499",0,0,"Southeastern College - Tampa",NA,"FL","Tampa",5176.99115,NA
"4500",0,0,"Colorado Technical University",NA,"CO","Westminster",5483.529695,NA
"4501",0,0,"International Yacht Restoration School",NA,"RI","Bristol",NA,NA
"4502",0,0,"Design's School of Cosmetology",NA,"CA","Pleasanton",4734.299517,NA
"4503",0,0,"Blake Austin College Beauty Academy",NA,"CA","Vacaville",5395.683453,NA
"4504",0,0,"Unitek College",NA,"CA","Fremont",4336.956522,NA
"4505",45.48682,-122.675831,"American College of Healthcare Sciences",0,"OR","Portland",3868.194842,9730
"4506",33.62312,-117.729441,"Allied American University",0,"CA","Laguna Hills",5475.194262,NA
"4507",41.07663,-73.857761,"New York School of Esthetics & Day Spa",0,"NY","white plains",5479.452055,NA
"4508",43.57609,-89.780141,"Panache Academy of Beauty",0,"WI","Baraboo",4444.444444,NA
"4509",39.75546,-75.045231,"ASI Career Institute",0,"NJ","Turnersville",6796.116505,NA
"4510",32.403009,-90.177694,"Midwest Technical Institute-Ridgeland",0,"MS","Ridgeland",5237.877402,NA
"4511",26.0253,-80.219931,"City College-Hollywood",0,"FL","Hollywood",4987.341772,NA
"4512",32.680525,-97.110215,"Paul Mitchell the School-Arlington",0,"TX","Arlington",4206.755374,NA
"4513",40.7543,-73.981851,"Christie's Education",0,"NY","New York",NA,NA
"4514",34.97865,-81.871151,"Palmetto Beauty School",0,"SC","Spartanburg",6351.351351,NA
"4515",26.49552,-81.792631,"Paul Mitchell the School-Fort Myers",0,"FL","Fort Myers",4656.48855,NA
"4516",41.53024,-87.335761,"Lil Lou's Beauty and Barber College LLC",0,"IN","Gary",6875,NA
"4517",38.91581,-92.292621,"Bryan University",0,"MO","Columbia",6309.52381,NA
"4518",32.79369,-96.778071,"Criswell College",0,"TX","Dallas",4533.333333,10000
"4519",33.998242,-81.080395,"Columbia Academy of Cosmetology",0,"SC","West Columbia",5072.463768,NA
"4520",41.12821,-81.654881,"Bryant & Stratton College-Akron",0,"OH","Copley",5448.9667,NA
"4521",34.20069,-118.553931,"Annenberg School of Nursing",0,"CA","Reseda",NA,10000
"4522",25.66186,-80.393315,"American Medical Academy",0,"FL","Miami",5928.571429,NA
"4523",33.91163,-84.350431,"Chamberlain College of Nursing-Georgia",0,"GA","Atlanta",4735.177334,5500
"4524",39.91799,-86.110281,"Chamberlain College of Nursing-Indiana",0,"IN","Indianapolis",4735.177334,5714
"4525",33.42665,-111.940801,"Sessions College for Professional Design",0,"AZ","Tempe",4675.324675,NA
"4526",28.07787,-82.508111,"Regency Beauty Institute-Carrollwood",0,"FL","Tampa",5104.299702,NA
"4527",36.83841,-76.135631,"Empire Beauty School-Virginia Beach",0,"VA","Virginia Beach",5348.7095,NA
"4528",39.652473,-79.94289,"Ross Medical Education Center-Morgantown",0,"WV","Morgantown",5694.540428,NA
"4529",41.2258,-111.974661,"Paul Mitchell the School-Ogden",0,"UT","Ogden",5295.404814,NA
"4530",32.938489,-96.740759,"Utah College of Massage Therapy-Dallas",0,"TX","Richardson",4505.247376,NA
