"","lat","long","name","library","state","city","firstgen","admissions"
"1186",41.978355,-72.451739,"New England Tractor Trailer Training School of Connecticut",0,"CT","Somers",62.92682927,NA
"1187",39.74332,-105.069911,"Rocky Mountain College of Art and Design",0,"CO","Lakewood",37.79069767,NA
"1188",41.998409,-72.570177,"Asnuntuck Community College",0,"CT","Enfield",49.93084371,NA
"1189",38.84657,-104.82422,"Colorado College",0,"CO","Colorado Springs",15.43026706,17.13
"1190",38.814124,-104.751124,"Nazarene Bible College",0,"CO","Colorado Springs",53.40909091,NA
"1191",41.277311,-72.854898,"Porter and Chester Institute of Branford",0,"CT","Branford",51.10565111,NA
"1192",33.813156,-84.361989,"The Creative Circus",0,"GA","Atlanta",NA,NA
"1193",34.594437,-83.745972,"Truett McConnell University",0,"GA","Cleveland",34.22982885,91.13
"1194",40.58957,-111.892431,"Francois D College of Hair Skin and Nails",0,"UT","Taylorsville",NA,NA
"1195",41.115776,-74.065944,"Yeshiva D'monsey Rabbinical College",0,"NY","Monsey",NA,38.89
"1196",42.74311,-73.836922,"Albany BOCES-Adult Practical Nursing Program",0,"NY","Albany",56.02094241,NA
"1197",34.912498,-97.364174,"Mid-America Technology Center",0,"OK","Wayne",NA,NA
"1198",40.269577,-78.838152,"Greater Johnstown Career and Technology Center",0,"PA","Johnstown",55.55555556,NA
"1199",38.289727,-89.948787,"Career Center of Southern Illinois",0,"IL","Red Bud",49.24242424,72.41
"1200",38.760988,-93.709802,"Warrensburg Area Career Center",0,"MO","Warrensburg",NA,NA
"1201",37.861014,-94.363083,"Nevada Regional Technical Center",0,"MO","Nevada",NA,NA
"1202",35.962556,-78.978992,"Durham Beauty Academy",0,"NC","Durham",50.72463768,NA
"1203",35.445835,-94.790087,"Indian Capital Technology Center-Sallisaw",0,"OK","Sallisaw",56.59472422,NA
"1204",41.733553,-87.819485,"Northwestern College-Southwestern Campus",0,"IL","Bridgeview",51.53643547,81.63
"1205",32.227753,-101.503419,"Southwest Collegiate Institute for the Deaf",0,"TX","Big Spring",52.29357798,NA
"1206",34.722818,-86.63842,"University of Alabama in Huntsville",0,"AL","Huntsville",31.37931034,81.2
"1207",34.783368,-86.568502,"Alabama A & M University",0,"AL","Normal",38.87357227,65.38
